type, Node,Node Interface,Leaf IP Address,Peer Node,Peer Interface,Peer IP Address
leaf,DC1-LEAF1,Ethernet1,172.31.255.1/31,spine,DC1-SPINE1,Ethernet1,172.31.255.0/31
leaf,DC1-LEAF1,Ethernet2,172.31.255.3/31,spine,DC1-SPINE2,Ethernet1,172.31.255.2/31
leaf,DC1-LEAF1,Ethernet3,172.31.255.5/31,spine,DC1-SPINE3,Ethernet1,172.31.255.4/31
leaf,DC1-LEAF1,Ethernet4,172.31.255.7/31,spine,DC1-SPINE4,Ethernet1,172.31.255.6/31
leaf,DC1-LEAF2,Ethernet1,172.31.255.9/31,spine,DC1-SPINE1,Ethernet2,172.31.255.8/31
leaf,DC1-LEAF2,Ethernet2,172.31.255.11/31,spine,DC1-SPINE2,Ethernet2,172.31.255.10/31
leaf,DC1-LEAF2,Ethernet3,172.31.255.13/31,spine,DC1-SPINE3,Ethernet2,172.31.255.12/31
leaf,DC1-LEAF2,Ethernet4,172.31.255.15/31,spine,DC1-SPINE4,Ethernet2,172.31.255.14/31
leaf,DC1-LEAF3,Ethernet1,172.31.255.17/31,spine,DC1-SPINE1,Ethernet3,172.31.255.16/31
leaf,DC1-LEAF3,Ethernet2,172.31.255.19/31,spine,DC1-SPINE2,Ethernet3,172.31.255.18/31
leaf,DC1-LEAF3,Ethernet3,172.31.255.21/31,spine,DC1-SPINE3,Ethernet3,172.31.255.20/31
leaf,DC1-LEAF3,Ethernet4,172.31.255.23/31,spine,DC1-SPINE4,Ethernet3,172.31.255.22/31
leaf,DC1-LEAF4,Ethernet1,172.31.255.25/31,spine,DC1-SPINE1,Ethernet4,172.31.255.24/31
leaf,DC1-LEAF4,Ethernet2,172.31.255.27/31,spine,DC1-SPINE2,Ethernet4,172.31.255.26/31
leaf,DC1-LEAF4,Ethernet3,172.31.255.29/31,spine,DC1-SPINE3,Ethernet4,172.31.255.28/31
leaf,DC1-LEAF4,Ethernet4,172.31.255.31/31,spine,DC1-SPINE4,Ethernet4,172.31.255.30/31
spine,DC1-SPINE1,Ethernet11,10.255.255.1/31,spine,DC1-SPINE2,Ethernet11,10.255.255.0/31
spine,DC1-SPINE1,Ethernet12,10.255.255.3/31,spine,DC1-SPINE3,Ethernet11,10.255.255.2/31
spine,DC1-SPINE1,Ethernet13,10.255.255.5/31,spine,DC1-SPINE4,Ethernet11,10.255.255.4/31
spine,DC1-SPINE2,Ethernet12,10.255.255.7/31,spine,DC1-SPINE3,Ethernet12,10.255.255.6/31
spine,DC1-SPINE2,Ethernet13,10.255.255.9/31,spine,DC1-SPINE4,Ethernet12,10.255.255.8/31
spine,DC1-SPINE3,Ethernet13,10.255.255.13/31,spine,DC1-SPINE4,Ethernet13,10.255.255.12/31
